topic,top_words,top_scores
Mayoral Election (analysis),"mamdani, zohran, new, york, city, mayoral, cuomo, race, mayor, election","0.1404, 0.1016, 0.1013, 0.0874, 0.0758, 0.0665, 0.0578, 0.0568, 0.0566, 0.0498"
Racism,"mamdani, zohran, 11, attacks, islamophobia, city, york, new, muslim, mayor","0.1730, 0.1388, 0.1313, 0.1100, 0.1065, 0.0970, 0.0968, 0.0896, 0.0831, 0.0824"
Democrat Party Politics,"mamdani, democratic, zohran, party, new, democrats, york, socialist, city, mayoral","0.1388, 0.1090, 0.1009, 0.0995, 0.0951, 0.0820, 0.0777, 0.0684, 0.0673, 0.0546"
Gossip,"mamdani, zohran, mayor, new, york, london, mayoral, party, democrat, cuomo","0.1857, 0.1278, 0.0861, 0.0818, 0.0786, 0.0717, 0.0653, 0.0584, 0.0549, 0.0549"
Mayoral Election (coverage),"mamdani, new, york, zohran, mayoral, race, city, election, nyc, mayor","0.1222, 0.1096, 0.1049, 0.0966, 0.0954, 0.0954, 0.0937, 0.0823, 0.0759, 0.0737"
Trump,"trump, president, mamdani, donald, zohran, new, city, york, cuomo, election","0.2862, 0.1190, 0.1147, 0.1009, 0.0825, 0.0709, 0.0648, 0.0621, 0.0597, 0.0574"
NYC Exodus/Degredation,"mamdani, new, yorkers, zohran, socialist, york, post, breitbart, michael, city","0.1494, 0.1310, 0.1304, 0.1281, 0.0922, 0.0912, 0.0881, 0.0863, 0.0815, 0.0770"
Isreal-Palestine Conflict,"mamdani, israel, jewish, zohran, new, socialist, mayor, mayoral, michael, city","0.2006, 0.1996, 0.1411, 0.1391, 0.1094, 0.0897, 0.0879, 0.0767, 0.0767, 0.0765"
