from_json,Democrat Party Politics,Gossip,ICE,Isreal-Palestine Conflict,Mayoral Election (analysis),Mayoral Election (coverage),NYC Exodus/Degredation,Racism,Trump,US Politics
Nov18_Center_post.json,9.09,4.55,0.0,2.27,22.73,43.18,2.27,2.27,11.36,2.27
Nov18_Center_pre.json,11.11,3.17,0.0,0.0,20.63,36.51,1.59,4.76,17.46,4.76
Nov18_Left_post.json,11.76,9.8,1.96,0.0,33.33,17.65,1.96,1.96,21.57,0.0
Nov18_Left_pre.json,18.87,11.32,0.0,0.0,18.87,16.98,0.0,11.32,20.75,1.89
Nov18_Right_post.json,15.15,9.09,0.0,12.12,15.15,9.09,13.64,4.55,21.21,0.0
Nov18_Right_pre.json,13.7,13.7,2.74,12.33,16.44,6.85,5.48,12.33,13.7,2.74
